Judet;Localitate;Unit_adm;Prod_sfecla_t;Prod_oua_miibuc
ALBA;ALBA IULIA;municipiu;2240;7731
ALBA;CIUGUD;comuna;400;1945
ALBA;ABRUD;oras;0;214
ALBA;AIUD;municipiu;4706;3864
ALBA;BLAJ;municipiu;3753;3899
ALBA;CAMPENI;oras;0;668
ALBA;CUGIR;oras;0;3158
ALBA;OCNA MURES;oras;1248;2610
ALBA;SEBES;oras;2204;4495
ALBA;ZLATNA;oras;0;2403
ALBA;ALBAC;comuna;0;159
ALBA;ALMASU MARE;comuna;60;499
ALBA;ARIESENI;comuna;0;1021
ALBA;AVRAM IANCU;comuna;0;388
ALBA;BAIA DE ARIES;oras;0;405
ALBA;BERGHIN;comuna;1030;1823
ALBA;BISTRA;comuna;0;557
ALBA;BLANDIANA;comuna;0;1315
ALBA;BUCIUM;comuna;0;173
ALBA;CENADE;comuna;652;1216
ALBA;CERGAU;comuna;1552;1064
ALBA;CERU-BACAINTI;comuna;0;176
ALBA;CETATEA DE BALTA;comuna;426;1520
ALBA;CIURULEASA;comuna;0;203
ALBA;CALNIC;comuna;577;2502
ALBA;CRICAU;comuna;1400;3907
ALBA;CRACIUNELU DE JOS;comuna;3570;2934
ALBA;DAIA ROMANA;comuna;1500;1398
ALBA;DOSTAT;comuna;230;1520
ALBA;FARAU;comuna;2055;1617
ALBA;GALDA DE JOS;comuna;2640;2532
ALBA;GARBOVA;comuna;235;1317
ALBA;GARDA DE SUS;comuna;0;103
ALBA;HOPARTA;comuna;3200;1215
ALBA;HOREA;comuna;0;187
ALBA;IGHIU;comuna;2250;2289
ALBA;INTREGALDE;comuna;0;253
ALBA;JIDVEI;comuna;1100;3687
ALBA;LIVEZILE;comuna;250;869
ALBA;LOPADEA NOUA;comuna;3200;2279
ALBA;LUNCA MURESULUI;comuna;3000;1094
ALBA;LUPSA;comuna;0;506
ALBA;METES;comuna;60;1216
ALBA;MIHALT;comuna;4540;2188
ALBA;MIRASLAU;comuna;900;1560
ALBA;MOGOS;comuna;0;284
ALBA;NOSLAC;comuna;1100;1313
ALBA;OCOLIS;comuna;0;280
ALBA;OHABA;comuna;1900;3546
ALBA;PIANU;comuna;150;638
ALBA;POIANA VADULUI;comuna;0;218
ALBA;PONOR;comuna;0;146
ALBA;POSAGA;comuna;0;155
ALBA;RADESTI;comuna;1845;2370
ALBA;RAMETEA;comuna;250;608
ALBA;RAMET;comuna;0;256
ALBA;ROSIA MONTANA;comuna;0;486
ALBA;ROSIA DE SECAS;comuna;2000;893
ALBA;SALCIUA;comuna;0;284
ALBA;SALISTEA;comuna;812;1418
ALBA;SASCIORI;comuna;0;1418
ALBA;SCARISOARA;comuna;0;207
ALBA;SANCEL;comuna;900;1094
ALBA;SANTIMBRU;comuna;480;18023
ALBA;SOHODOL;comuna;0;203
ALBA;STREMT;comuna;420;608
ALBA;SIBOT;comuna;287;1515
ALBA;SONA;comuna;1565;2277
ALBA;SPRING;comuna;990;869
ALBA;SUGAG;comuna;0;809
ALBA;TEIUS;oras;1534;2800
ALBA;UNIREA;comuna;2610;2020
ALBA;VADU MOTILOR;comuna;0;152
ALBA;VALEA LUNGA;comuna;465;1930
ALBA;VIDRA;comuna;0;255
ALBA;VINTU DE JOS;comuna;2644;1215
ARAD;ARAD;municipiu;7864;5125
ARAD;FANTINELE;comuna;1400;1100
ARAD;LIVADA;comuna;387;440
ARAD;SOFRONEA;comuna;1250;600
ARAD;VLADIMIRESCU;comuna;2696;1080
ARAD;CHISINEU-CRIS;oras;4381;983
ARAD;CURTICI;oras;13824;3950
ARAD;INEU;oras;1480;1330
ARAD;LIPOVA;oras;240;720
ARAD;NADLAC;oras;9772;800
ARAD;PANCOTA;oras;1500;994
ARAD;SEBIS;oras;0;975
ARAD;ALMAS;comuna;144;1650
ARAD;APATEU;comuna;1280;799
ARAD;ARCHIS;comuna;0;420
ARAD;BATA;comuna;0;696
ARAD;BELIU;comuna;360;1080
ARAD;BIRCHIS;comuna;240;1725
ARAD;BARSA;comuna;0;1750
ARAD;BARZAVA;comuna;500;2418
ARAD;BOCSIG;comuna;380;1568
ARAD;BRAZII;comuna;0;990
ARAD;BUTENI;comuna;300;1113
ARAD;CARAND;comuna;0;333
ARAD;CERMEI;comuna;1700;1287
ARAD;CHISINDIA;comuna;0;630
ARAD;CONOP;comuna;280;1800
ARAD;COVASINT;comuna;1100;1150
ARAD;CRAIVA;comuna;625;3284
ARAD;DEZNA;comuna;0;840
ARAD;DIECI;comuna;0;408
ARAD;DORGOS;comuna;105;471
ARAD;FELNAC;comuna;3061;1595
ARAD;GHIOROC;comuna;110;480
ARAD;GRANICERI;comuna;3200;840
ARAD;GURAHONT;comuna;0;1900
ARAD;HALMAGIU;comuna;0;153
ARAD;HALMAGEL;comuna;0;195
ARAD;HASMAS;comuna;0;300
ARAD;IGNESTI;comuna;0;357
ARAD;IRATOSU;comuna;2661;824
ARAD;MACEA;comuna;2438;1843
ARAD;MISCA;comuna;3189;1183
ARAD;MONEASA;comuna;0;1500
ARAD;OLARI;comuna;3122;679
ARAD;PAULIS;comuna;1590;1440
ARAD;PECICA;comuna;16934;2570
ARAD;PEREGU MARE;comuna;510;960
ARAD;PETRIS;comuna;0;805
ARAD;PILU;comuna;859;720
ARAD;PLESCUTA;comuna;0;300
ARAD;SAVARSIN;comuna;0;2018
ARAD;SECUSIGIU;comuna;4510;800
ARAD;SELEUS;comuna;960;648
ARAD;SEMLAC;comuna;5240;808
ARAD;SINTEA MARE;comuna;1615;9600
ARAD;SANTANA;comuna;12438;1201
ARAD;SOCODOR;comuna;1527;2400
ARAD;SAGU;comuna;10335;1152
ARAD;SEITIN;comuna;2520;1500
ARAD;SEPREUS;comuna;1025;798
ARAD;SICULA;comuna;1360;2083
ARAD;SILINDIA;comuna;165;512
ARAD;SIMAND;comuna;9962;600
ARAD;SIRIA;comuna;12806;4500
ARAD;SISTAROVAT;comuna;5;365
ARAD;TAUT;comuna;96;846
ARAD;TARNOVA;comuna;1495;1680
ARAD;VARADIA DE MURES;comuna;380;675
ARAD;VINGA;comuna;3988;1760
ARAD;VARFURILE;comuna;0;864
ARAD;ZABRANI;comuna;450;527
ARAD;ZARAND;comuna;2200;756
ARAD;ZERIND;comuna;3203;2080
ARAD;ZIMANDU NOU;comuna;356;1110
ARGES;PITESTI;municipiu;0;1106
ARGES;BASCOV;comuna;0;954
ARGES;BRADU;comuna;0;699
ARGES;MIOVENI;oras;0;971
ARGES;MARACINENI;comuna;0;683
ARGES;STEFANESTI;comuna;0;1690
ARGES;CAMPULUNG;municipiu;0;614
ARGES;VALEA MARE PRAVAT;comuna;0;523
ARGES;CURTEA DE ARGES;municipiu;0;1251
ARGES;COSTESTI;oras;0;1602
ARGES;TOPOLOVENI;oras;0;1090
ARGES;ALBESTII DE ARGES;comuna;0;1170
ARGES;ALBESTII DE MUSCEL;comuna;0;1381
ARGES;ALBOTA;comuna;0;938
ARGES;ANINOASA;comuna;0;450
ARGES;AREFU;comuna;0;619
ARGES;BABANA;comuna;0;810
ARGES;BAICULESTI;comuna;0;4202
ARGES;BALILESTI;comuna;0;1094
ARGES;BELETI-NEGRESTI;comuna;0;652
ARGES;BEREVOESTI;comuna;0;1001
ARGES;BARLA;comuna;0;1701
ARGES;BOGATI;comuna;0;972
ARGES;BOTENI;comuna;0;949
ARGES;BOTESTI;comuna;0;576
ARGES;BRADULET;comuna;0;370
ARGES;BUDEASA;comuna;0;1164
ARGES;BUGHEA DE JOS;comuna;0;600
ARGES;BUZOESTI;comuna;0;1125
ARGES;CALDARARU;comuna;140;1050
ARGES;CALINESTI;comuna;0;1260
ARGES;CATEASCA;comuna;0;1430
ARGES;CEPARI;comuna;0;646
ARGES;CETATENI;comuna;0;447
ARGES;CICANESTI;comuna;0;630
ARGES;CIOFRANGENI;comuna;0;998
ARGES;CIOMAGESTI;comuna;0;701
ARGES;COCU;comuna;0;900
ARGES;CORBENI;comuna;0;843
ARGES;CORBI;comuna;0;900
ARGES;COSESTI;comuna;0;1378
ARGES;COTMEANA;comuna;0;740
ARGES;CUCA;comuna;0;1096
ARGES;DAVIDESTI;comuna;0;747
ARGES;DAMBOVICIOARA;comuna;0;410
ARGES;DARMANESTI;comuna;0;1350
ARGES;DOBRESTI;comuna;0;720
ARGES;DOMNESTI;comuna;0;848
ARGES;DRAGOSLAVELE;comuna;0;531
ARGES;DRAGANU;comuna;0;360
ARGES;GODENI;comuna;0;1020
ARGES;HARSESTI;comuna;0;1350
ARGES;HARTIESTI;comuna;0;1400
ARGES;IZVORU;comuna;110;1350
ARGES;LEORDENI;comuna;0;1998
ARGES;LERESTI;comuna;0;1503
ARGES;LUNCA CORBULUI;comuna;0;1530
ARGES;MALURENI;comuna;0;990
ARGES;MERISANI;comuna;0;2276
ARGES;MICESTI;comuna;0;1080
ARGES;MIHAESTI;comuna;0;1440
ARGES;MIOARELE;comuna;0;811
ARGES;MIROSI;comuna;234;1838
ARGES;MORARESTI;comuna;0;696
ARGES;MOSOAIA;comuna;0;820
ARGES;MOZACENI;comuna;0;899
ARGES;MUSATESTI;comuna;0;720
ARGES;NEGRASI;comuna;0;951
ARGES;NUCSOARA;comuna;0;200
ARGES;OARJA;comuna;0;1260
ARGES;PIETROSANI;comuna;0;1121
ARGES;POIENARII DE ARGES;comuna;0;540
ARGES;POIENARII DE MUSCEL;comuna;0;875
ARGES;POIANA LACULUI;comuna;0;1056
ARGES;POPESTI;comuna;0;962
ARGES;PRIBOIENI;comuna;0;324
ARGES;RATESTI;comuna;0;1500
ARGES;RECEA;comuna;0;1069
ARGES;ROCIU;comuna;0;1620
ARGES;RUCAR;comuna;0;1099
ARGES;SALATRUCU;comuna;0;519
ARGES;SAPATA;comuna;0;1328
ARGES;SCHITU GOLESTI;comuna;0;898
ARGES;SLOBOZIA;comuna;0;644
ARGES;STALPENI;comuna;0;740
ARGES;STOENESTI;comuna;0;648
ARGES;STOLNICI;comuna;0;1260
ARGES;SUSENI;comuna;0;1140
ARGES;STEFAN CEL MARE;comuna;0;795
ARGES;SUICI;comuna;0;1002
